IT8.7/2
ORIGINATOR "Eastman Kodak Company"
DESCRIPTOR "Q60R1, IT8.7/2 Data Files, 5x7 inch Ektacolor"
CREATED  "SEPTEMBER 29,1997"
MANUFACTURER " Eastman Kodak Company"
PROD_DATE "1997:08 "
SERIAL  "1997:08 BATCH AVERAGE DATA"
MATERIAL "Ektacolor Product Family"
KEYWORD "MEAN_DE" # Mean Delta E of samples compared to batch average
#
# STDEV_DE in this data set is the average of the standard deviations of
# L*, a* and b*.  It is used to derive an estimate of the chi-squared
# parameter which is recommended as the predictor of the variability of
# DELTAE.  SEE FILE ON THIS DISK CALLED CHI-SQ.*
#
NUMBER_OF_FIELDS 12
BEGIN_DATA_FORMAT
SAMPLE_ID XYZ_X XYZ_Y XYZ_Z LAB_L LAB_A LAB_B STDEV_X STDEV_Y STDEV_Z
    MEAN_DE STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS  264
BEGIN_DATA
#ID    X      Y      Z      L      A      B    S_X   S_Y   S_Z   M_DE  S_DE
H07   8.26  11.81  21.44  40.91 -24.93 -29.48  0.25  0.31  0.51  0.61  0.36
H08   7.61  11.70  23.40  40.73 -30.12 -33.59  0.21  0.28  0.47  0.51  0.30
H09  37.61  40.51  38.59  69.83  -4.64  -7.25  0.66  0.60  0.69  0.65  0.40
H10  37.01  41.29  42.51  70.37  -8.93 -11.39  0.61  0.57  0.64  0.60  0.36
H11  36.00  42.10  47.04  70.94 -14.69 -15.94  0.62  0.60  0.57  0.56  0.34
H12  36.13  43.97  51.34  72.21 -19.74 -18.65  0.63  0.61  0.49  0.54  0.34
H13  21.55  30.85  44.99  62.38 -34.44 -28.24  0.45  0.51  0.43  0.52  0.33
H14  34.29  21.18  30.28  53.14  56.20 -23.97  0.24  0.20  0.30  0.32  0.20
H15  60.99  61.10  13.94  82.43   4.93  59.16  0.36  0.41  0.46  0.89  0.47
H16   9.27   9.64   8.68  37.18  -0.23  -2.70  0.33  0.30  0.37  0.86  0.53
H17  31.88  22.16   9.82  54.20  43.17  22.68  0.29  0.25  0.38  0.86  0.47
H18  16.09  24.47  12.28  56.55 -37.51  19.13  0.46  0.53  0.45  0.80  0.49
H19  12.44  11.25  27.06  39.99  11.33 -41.38  0.35  0.31  0.42  0.63  0.37
I01   4.55   4.66   6.80  25.73   0.84 -15.04  0.17  0.15  0.28  0.80  0.50
I02   4.64   4.62  10.04  25.62   2.49 -27.33  0.17  0.15  0.34  0.75  0.46
I03   4.64   4.53  13.57  25.35   3.63 -38.26  0.15  0.14  0.37  0.62  0.37
I04   4.51   4.39  15.24  24.92   3.81 -43.32  0.14  0.13  0.35  0.54  0.32
